State,South,Region,Division,UER23,PR23,PNH,PH,SCR,PC
27,0,1,2,3.6,8.7,6.932681394,45.07552606,29.9091941,18.08259845
9,1,2,4,3.5,17.8,18.76832845,43.59197908,26.74169771,10.89799477
9,1,2,4,3.4,14.2,10.29939186,35.18634025,34.99922033,19.51504756
27,0,1,2,2.7,10.2,7.872922365,37.28592468,30.16621081,24.67494214
4,1,2,6,5.4,14.5,9.01351232,36.73938002,36.45323677,17.79387088
7,0,1,2,3.6,14.4,14.23084698,47.77137659,24.15605417,13.84172226
28,0,0,0,2.9,12.4,4.515361229,20.36462917,23.99991999,51.12008961
6,1,2,5,4.0,16.4,15.04539559,40.93112158,26.64345689,17.38002594
17,1,2,4,3.4,12.5,11.4582003,28.72553277,32.10731101,27.70895592
29,0,1,3,2.7,14.3,7.534562212,37.16589862,36.31336406,18.98617512
28,0,0,0,3.2,15.1,12.39279861,20.50552773,17.20939688,49.89227678
30,0,3,7,2.6,7.8,6.732514682,26.71115857,39.37533369,27.18099306
4,1,2,6,3.4,17.6,23.00830514,39.07259305,25.2768379,12.64226392
21,1,2,5,3.9,15.1,17.7025474,37.8806742,27.94483815,16.47194024
26,0,1,2,4.5,15.9,6.902302312,36.08653356,39.27363691,17.73752722
6,1,2,5,5.6,25.0,20.59972998,40.23307042,25.44588929,13.72131031
21,1,2,5,3.5,13.7,16.61142915,39.99196545,29.22064879,14.17595661
4,1,2,6,3.4,14.2,13.23279196,35.56844548,31.0324826,20.16627997
29,0,1,3,2.5,12.3,7.078222401,35.27046049,36.15523829,21.49607883
4,1,2,6,3.5,12.0,9.682620937,29.06066035,30.04351165,31.21320706
31,1,2,4,3.8,12.1,9.943597935,32.93125046,36.68719057,20.43796104
31,1,2,4,2.7,10.4,12.51492716,37.00740387,29.2014967,21.27617228
31,1,2,4,2.8,10.9,8.592093564,27.81957458,29.35845701,34.22987484
14,1,2,5,4.2,19.6,19.33862434,35.24691358,33.01587302,12.39858907
26,0,1,2,6.3,21.1,11.82083569,40.84789334,34.34273016,12.9885408
29,0,1,3,2.1,11.9,5.171889261,30.66626103,38.78916946,25.37268026
31,1,2,4,3.3,11.9,8.059866413,30.69959839,34.05557405,27.18496115
19,1,2,6,2.7,7.9,7.834336428,27.28663767,33.12436824,31.75465767
9,1,2,4,3.2,17.0,15.08028045,30.70841048,29.26518348,24.9461256
32,0,3,7,4.3,10.8,7.979023345,33.20175933,40.21089433,18.608323
0,0,1,3,2.5,12.5,6.060606061,33.70693234,38.35616438,21.87629722
33,0,1,2,4.1,13.0,5.977267308,33.78904698,36.0464192,24.18726651
3,0,1,3,2.1,9.8,6.88544393,30.17918261,37.26595531,25.66941816
12,0,3,8,5.5,12.8,8.866917765,31.6698054,36.93764386,22.52563298
34,0,0,0,1.8,9.9,7.027465913,37.2315704,26.93955259,28.80141109
26,0,1,2,4.6,14.3,4.496151942,26.64161303,33.03028939,35.83194563
17,1,2,4,3.4,14.0,12.30017394,32.47660068,34.50095254,20.72227284
33,0,1,2,5.3,14.9,12.29116945,36.60229985,35.52831417,15.57821653
15,0,1,3,3.2,16.6,17.1314741,41.03585657,24.94023904,16.89243028
15,0,1,3,2.4,13.9,12.02018203,43.15393748,26.51365255,18.31222794
13,0,0,1,3.8,13.0,8.034501494,43.68038576,26.80997012,21.47514262
0,0,1,3,2.7,13.6,18.90967153,35.53071776,30.43643552,15.12317518
26,0,1,2,3.8,7.2,3.417124902,18.58377286,28.10571204,49.89339019
20,1,2,4,2.7,12.4,10.01828897,30.98963625,33.59073359,25.40134119
4,1,2,6,3.9,16.8,17.35431731,37.19693747,31.64610804,13.80263718
7,0,1,2,3.2,11.9,8.817891882,32.014666,26.63700063,32.53044149
9,1,2,4,4.5,28.1,22.17004049,35.67611336,30.62348178,11.53036437
9,1,2,4,4.1,17.3,15.19842954,32.57905348,30.87966893,21.34284805
22,0,3,7,3.4,13.5,6.470100294,31.21182415,37.06356987,25.25450569
27,0,1,2,3.0,9.2,6.522727273,42.93181818,31.59090909,18.95454545
9,1,2,4,3.0,6.8,6.913049572,22.13054245,33.12059057,37.83581741
16,0,3,7,3.1,14.7,8.750754375,25.58841279,38.26191913,27.3989137
35,0,3,7,3.1,16.3,9.62749213,31.79433368,36.64742917,21.93074502
13,0,0,1,3.2,12.9,8.520406373,32.07732519,25.11264478,34.28962365
3,0,1,3,2.0,9.8,5.434015526,29.38132204,34.20371677,30.98094566
23,1,2,4,3.3,10.3,6.853567205,36.13027197,28.61154907,28.40461175
36,0,0,1,4.3,5.4,4.578664446,27.69155058,27.7577983,39.97198667
29,0,1,3,2.9,13.9,5.847145488,29.51197053,36.83241252,27.80847145
27,0,1,2,3.0,14.3,8.807086328,46.30073332,28.41065853,16.48152182
14,1,2,5,2.3,14.9,21.42857143,31.6819407,29.80053908,17.08894879
0,0,1,3,2.4,12.6,4.314329738,41.21725732,34.89984592,19.56856703
37,0,1,3,5.1,10.7,8.702624686,36.98615492,36.75629444,17.55492596
38,0,1,3,2.9,9.6,12.4399286,34.5873953,33.43402444,19.53865165
7,0,1,2,4.5,15.2,11.46393426,43.43106422,30.90189713,14.20310439
7,0,1,2,3.5,12.9,7.069936252,35.79451864,25.61444326,31.52110186
22,0,3,7,3.2,10.3,5.393292,35.99013969,37.29737805,21.31919026
32,0,3,7,3.9,10.4,12.76483516,35.49010989,31.94725275,19.7978022
4,1,2,6,4.7,24.6,21.23857024,40.93931837,18.86949293,18.95261845
16,0,3,7,2.1,13.3,8.293075684,27.0531401,40.25764895,24.39613527
